Pupils,Girls,Boys,Gross_salary_year,Total_Teachers,Total_Teaching_Assistants ,Non_classroom_based_support,Full_Time_Teachers,Pupil_Teacher_Ratio,Grammer_score_AVERAGE,Math_score_AVERAGE,Reading_score_AVERAGE,School_Phase
380,55.5,44.5,41698,21,26,5,18.6,20.4,110,108,106,Primary
196,57.7,42.3,46688,9,11,5,8.8,22.3,100,99,102,Primary
208,48.6,51.4,46521,10,11,7,9.2,22.6,104,102,103,Primary
246,47.6,52.4,50822,14,11,5,10.4,23.6,110,109,108,Primary
226,49.6,50.4,42735,13,14,6,12.1,17.5,105,103,104,Primary
192,47.4,52.6,49348,11,10,7,10.4,18.5,102,102,101,Primary
323,48.9,51.1,44481,19,17,4,15.7,20,105,104,104,Primary
222,48.6,51.4,44592,13,7,8,11.8,18.4,110,108,110,Primary
249,51,49,44930,20,20,5,12.4,19.4,105,101,101,Primary
230,47,53,46721,10,20,3,7.8,28.6,103,102,100,Primary
241,58.9,41.1,48321,17,13,6,12.7,18.5,109,109,106,Primary
901,45.2,54.8,44865,75,12,26,65.9,13.7,0,0,0,Secondary
1418,99.2,0.8,47640,89,11,32,84,16.9,106,105,106,Secondary
871,41.6,58.4,45538,58,22,28,56.7,15.4,109,107,104,Secondary
780,43.8,56.2,46127,60,13,26,53.8,14.5,109,106,107,Secondary
1251,1.3,98.7,43324,77,14,28,74.2,16.9,108,108,109,Secondary
1010,51.6,48.4,45731,72,25,29,68.7,14.7,104,103,105,All through
558,45.2,54.8,49184,44,13,15,41.9,13.3,107,106,105,Secondary
906,43.4,56.6,43236,60,29,16,59.5,15.2,109,105,107,All through
931,89.3,10.7,50842,61,7,31,56.5,16.5,110,106,104,Secondary
821,44.8,55.2,45986,49,0,5,47.6,17.2,108,107,107,Secondary
1317,44.5,55.5,41942,87,14,30,86,15.3,108,105,106,All through
1827,50.8,49.2,46433,102,22,38,96.5,18.7,107,107,106,All through
945,49,51,45537,71,19,21,69,13.7,103,99,101,All through
828,40.5,59.5,46980,50,19,22,49.4,16.2,108,107,104,All through
461,47.3,52.7,45737,32,29,7,29.8,15,107,104,104,Primary
358,53.9,46.1,38516,14,8,3,13.4,26.7,110,107,107,Primary
425,54.1,45.9,45904,20,25,7,16.4,25.2,108,108,105,Primary
237,45.6,54.4,45520,11,7,10,11,20.8,111,108,106,Primary
378,43.4,56.6,44143,30,18,8,29.4,12.7,106,106,104,Primary
462,47.2,52.8,46639,26,32,13,23.4,18.9,107,105,101,Primary
468,47.4,52.6,40728,28,32,10,26.7,16.8,104,104,101,Primary
210,48.6,51.4,38407,16,11,6,15.1,13.5,106,107,105,Primary
630,49.7,50.3,41274,34,27,18,32.1,19,110,108,103,Primary
249,53,47,44110,17,15,7,16.4,15.2,104,102,102,Primary
346,40.8,59.2,43533,22,21,8,21.6,15.4,107,105,105,Primary
446,47.8,52.2,43954,29,30,10,26.2,16.5,107,106,102,Primary
446,47.3,52.7,40671,35,17,6,33.2,13.3,106,106,101,Primary
670,49.3,50.7,45173,32,31,15,29.7,22.1,109,107,105,Primary
472,51.7,48.3,40222,23,20,15,22.5,19.6,107,106,105,Primary
634,49.4,50.6,42463,31,19,15,31,19.8,102,105,103,Primary
505,48.1,51.9,44646,24,34,8,24,20.5,109,107,105,Primary
355,51.8,48.2,42734,25,15,4,24,14.5,108,106,106,Primary
371,50.7,49.3,42050,20,23,12,19.2,18.6,108,106,105,Primary
424,50,50,48591,28,25,8,24.8,16.5,106,106,104,Primary
457,48.8,51.2,37578,25,18,11,24.2,17.9,105,102,100,Primary
389,48.1,51.9,40279,21,18,9,21,18.1,103,102,101,Primary
342,44.2,55.8,39890,18,33,14,17.6,18.9,103,104,102,Primary
403,47.1,52.9,47304,21,35,11,20.8,19,108,106,102,Primary
408,49.3,50.7,42589,25,18,15,24.1,16.6,106,105,103,Primary
693,47.6,52.4,36862,29,16,22,28.4,23.2,105,104,103,Primary
237,51.9,48.1,47796,16,18,6,15.3,15.1,106,105,102,Primary
369,45.5,54.5,45201,28,14,9,26.4,13.5,108,107,101,Primary
232,40.5,59.5,46301,14,17,10,11.5,19.7,109,108,104,Primary
447,49,51,39309,26,33,21,25.2,17.4,106,104,104,Primary
224,51.3,48.7,44173,14,11,5,12.7,16.9,105,103,100,Primary
229,54.1,45.9,44346,11,12,5,11,20,108,105,105,Primary
348,48,52,38279,22,7,9,20.7,16.5,108,106,105,Primary
226,46,54,38858,14,15,4,11.4,18.9,102,103,100,Primary
468,48.9,51.1,42241,26,14,11,25,18.3,110,110,107,Primary
223,51.6,48.4,40128,13,14,5,11.6,18.8,108,108,108,Primary
358,53.1,46.9,39963,21,18,9,19.3,18,103,104,100,Primary
327,48.6,51.4,40668,18,10,8,17,18.6,110,109,107,Primary
286,50.7,49.3,62768,15,10,12,14.6,18.5,109,106,101,Primary
221,54.8,45.2,47536,13,13,5,12.6,17.3,105,105,102,Primary
